documento,nome_canonico,conta_debito,centro_custo,centros_alternativos,confianca,competencias
02867717000594,4 IRMAOS MATERIAIS DE CONSTRUC,2.01.01.01.01.0518,0001,,ALTA,2026-01;2026-02;2026-04;2026-06
,AGUAS DE CUIABA,3.01.01.07.01.0049,0001,,MEDIA,2026-06
,AGUAS DE MANAUS,3.01.01.07.01.0049,0001,,MEDIA,2026-06
,AGUAS DO PARA C SPE S A,3.01.01.07.01.0049,0001,,MEDIA,2026-06
,ALFREDO DA SILVA BENEDETTO,3.01.01.03.06.0049,0001,,MEDIA,2026-06
,ALGCOM,1.01.05.01.01.0001,0001,,MEDIA,2026-06
08520634000187,ALLMON TECNOLOGIA C LTDA,2.01.01.01.01.0627,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
05477207000175,AMAZON ACO,2.01.01.01.01.0065,0001,,ALTA,2026-02;2026-04;2026-05;2026-06
27601807000560,AMAZON ACO COMERCIO DE ACO LTD,2.01.01.01.01.0065,0001,,MEDIA,2026-06
,AMAZONAS DISTRIBUIDORA DE ENER,3.01.01.07.01.0048,0001,,MEDIA,2026-06
02341467000120,AMAZONAS ENERGIA S A,3.01.01.03.06.0048,0001,,MEDIA,2026-06
02341467000120,AMBAR ENERGIA AMAZONAS S A,3.01.01.03.06.0051,0001,,AMBIGUO_CONTA,2026-06
02341467000120,AMBAR ENERGIA AMAZONAS S A,3.01.01.03.06.0052,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
02341467000120,AMBAR ENERGIA AMAZONAS S A,3.01.01.07.01.0048,0001,,AMBIGUO_CONTA,2026-06
,ANATHEO TELECOMUNICACOES E CON,2.01.01.01.01.0796,0001,,ALTA,2026-02;2026-03;2026-04;2026-05;2026-06
,AQUILA ROBLEDO DE OLIVEIRA,3.01.01.07.01.0086,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
12428435000110,ARENA COMERCIO DE TINTAS LTDA,2.01.01.01.01.0903,0001,,MEDIA,2026-06
,ARSITEC ELETRONICA C S LTDA,2.01.01.01.01.0236,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
13743550000142,ASCENTY D C L S LTDA,3.01.01.03.06.0053,0005,,MEDIA,2026-06
,ASET COM S E E T LTDA,2.01.01.01.01.0777,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
11369542000152,ASSOCIACAO BRASILEIRA DE PROVE,3.01.01.07.01.0102,0001,,MEDIA,2026-06
,ASSOCIACAO BRASILEIRA DE RECURSOS EM TELECOMUNICAC,1.01.05.01.01.0001,0001,,AMBIGUO_CONTA,2026-06
,ASSOCIACAO BRASILEIRA DE RECURSOS EM TELECOMUNICAC,2.01.01.01.01.0223,0001,,AMBIGUO_CONTA,2026-04;2026-05
,ASSOCIACAO COMERCIAL DO AMAZONAS,3.01.01.07.01.0102,0001,,MEDIA,2026-06
